"Date","Price","Open","High","Low","Vol.","Change %"
"08/11/2017","218.70","218.76","219.22","218.52","4.94M","0.05%"
"08/14/2017","219.97","219.88","220.28","219.81","2.61M","0.58%"
"08/15/2017","220.16","220.58","220.58","219.86","1.84M","0.09%"
"08/16/2017","220.47","220.70","221.10","220.28","2.48M","0.14%"
"08/17/2017","217.81","220.00","220.07","217.77","3.54M","-1.21%"
"08/18/2017","216.53","216.99","217.66","216.15","4.47M","-0.59%"
"08/21/2017","216.74","216.46","216.92","215.73","3.47M","0.10%"
"08/22/2017","218.69","217.41","218.85","217.30","2.42M","0.90%"
"08/23/2017","217.92","218.01","218.46","217.84","3.66M","-0.35%"
"08/24/2017","217.66","218.55","218.55","217.46","1.93M","-0.12%"
"08/25/2017","218.04","218.26","218.93","218.00","2.37M","0.17%"
"08/28/2017","217.94","218.50","218.58","217.53","1.43M","-0.05%"
"08/29/2017","218.59","216.68","218.76","216.62","2.01M","0.30%"
"08/30/2017","218.93","218.75","219.16","218.39","1.80M","0.16%"
"08/31/2017","219.52","219.53","219.89","219.12","2.17M","0.27%"
"09/01/2017","219.92","220.13","220.41","219.83","2.15M","0.18%"
"09/05/2017","217.67","219.53","219.53","217.18","3.83M","-1.02%"
"09/06/2017","218.25","218.54","218.62","218.04","1.92M","0.27%"
"09/07/2017","218.11","218.47","218.72","217.68","1.98M","-0.06%"
"09/08/2017","218.24","217.61","218.66","217.52","2.14M","0.06%"
"09/11/2017","220.76","219.58","220.88","219.58","3.02M","1.15%"
"09/12/2017","221.42","221.33","221.57","221.07","2.07M","0.30%"
"09/13/2017","221.76","221.35","221.79","221.20","1.72M","0.15%"
"09/14/2017","222.32","221.65","222.43","221.62","1.89M","0.25%"
"09/15/2017","222.45","222.13","222.57","221.91","2.38M","0.06%"
"09/18/2017","223.16","222.92","223.39","222.67","1.83M","0.32%"
"09/19/2017","223.58","223.37","223.67","223.23","2.04M","0.19%"
"09/20/2017","223.90","223.57","223.95","222.95","1.82M","0.14%"
"09/21/2017","223.47","223.90","223.97","223.39","1.74M","-0.19%"
"09/22/2017","223.20","223.22","223.46","222.82","2.45M","-0.12%"
"09/25/2017","222.82","223.11","223.43","221.99","2.84M","-0.17%"
"09/26/2017","222.69","223.06","223.50","222.62","1.31M","-0.06%"
"09/27/2017","223.12","223.40","223.52","222.35","2.38M","0.19%"
"09/28/2017","223.60","222.97","223.77","222.70","1.46M","0.22%"
"09/29/2017","223.82","223.39","223.87","223.13","2.42M","0.10%"
"10/02/2017","225.24","224.19","225.39","224.02","2.61M","0.63%"
"10/03/2017","226.24","225.74","226.28","225.61","2.51M","0.44%"
"10/04/2017","226.41","226.39","226.68","226.18","1.75M","0.08%"
"10/05/2017","227.64","226.61","227.66","226.45","2.26M","0.54%"
"10/06/2017","227.55","227.34","227.63","227.23","2.09M","-0.04%"
"10/09/2017","227.53","227.89","227.96","227.34","1.01M","-0.01%"
"10/10/2017","228.26","228.21","228.43","227.64","1.42M","0.32%"
"10/11/2017","228.61","228.32","228.64","228.17","1.42M","0.15%"
"10/12/2017","228.33","228.49","228.81","228.15","1.31M","-0.12%"
"10/13/2017","228.73","228.71","228.97","228.51","1.74M","0.18%"
"10/16/2017","229.45","229.07","229.53","228.81","2.37M","0.31%"
"10/17/2017","229.85","229.71","229.96","229.52","1.84M","0.17%"
"10/18/2017","231.46","231.00","231.68","230.91","2.72M","0.70%"
"10/19/2017","231.65","230.84","231.66","230.52","2.31M","0.08%"
"10/20/2017","233.13","232.47","233.13","231.89","3.28M","0.64%"
"10/23/2017","232.65","233.58","233.58","232.61","2.33M","-0.21%"
"10/24/2017","234.29","234.11","234.70","233.96","3.30M","0.70%"
"10/25/2017","233.16","234.45","234.45","232.35","3.81M","-0.48%"
"10/26/2017","233.85","233.91","234.42","233.75","2.58M","0.30%"
"10/27/2017","234.17","233.95","234.33","233.36","2.94M","0.14%"
"10/30/2017","233.33","233.52","234.14","233.15","2.67M","-0.36%"
"10/31/2017","233.63","233.64","233.91","233.20","1.77M","0.13%"
"11/01/2017","234.19","234.60","235.02","233.73","2.68M","0.24%"
"11/02/2017","234.96","234.21","235.17","233.32","2.46M","0.33%"
"11/03/2017","235.18","235.36","235.39","234.64","2.57M","0.09%"
"11/06/2017","235.41","235.23","235.59","235.09","2.55M","0.10%"
"11/07/2017","235.42","235.70","235.88","234.69","2.39M","0.00%"
"11/08/2017","235.46","235.37","235.61","234.97","1.53M","0.02%"
"11/09/2017","234.72","234.49","235.28","233.16","4.23M","-0.31%"
"11/10/2017","234.43","234.45","234.67","234.10","2.51M","-0.12%"
"11/13/2017","234.66","233.66","234.78","233.63","2.45M","0.10%"
"11/14/2017","234.28","233.97","234.35","232.91","2.57M","-0.16%"
"11/15/2017","232.96","233.16","233.67","232.65","2.82M","-0.56%"
"11/16/2017","234.91","234.22","235.28","234.19","2.93M","0.84%"
"11/17/2017","233.39","233.77","233.97","233.36","3.48M","-0.65%"
"11/20/2017","234.15","233.66","234.37","233.42","2.06M","0.33%"
"11/21/2017","235.73","235.17","235.99","235.10","2.75M","0.67%"
"11/22/2017","235.17","236.06","236.06","234.95","2.86M","-0.24%"
"11/24/2017","235.47","235.56","235.87","235.41","1.44M","0.13%"
"11/27/2017","235.73","235.50","236.33","235.39","2.33M","0.11%"
"11/28/2017","238.34","236.32","238.44","236.23","4.84M","1.11%"
"11/29/2017","239.42","239.15","239.65","238.77","3.38M","0.45%"
"11/30/2017","242.84","240.68","243.49","240.41","6.59M","1.43%"
"12/01/2017","242.45","243.14","243.44","239.41","9.77M","-0.16%"
"12/04/2017","243.11","245.01","245.57","243.07","6.57M","0.27%"
"12/05/2017","242.01","243.78","243.79","241.77","4.93M","-0.45%"
"12/06/2017","241.62","241.72","242.51","241.55","3.98M","-0.16%"
"12/07/2017","242.36","241.21","242.87","241.10","2.72M","0.31%"
"12/08/2017","243.62","243.19","243.63","242.58","2.70M","0.52%"
"12/11/2017","244.17","243.77","244.24","243.50","1.86M","0.23%"
"12/12/2017","245.44","244.93","245.87","244.80","3.28M","0.52%"
"12/13/2017","246.30","245.69","246.99","245.65","3.75M","0.35%"
"12/14/2017","245.57","246.89","247.07","245.47","4.71M","-0.30%"
"12/15/2017","246.25","246.21","246.70","245.82","5.86M","0.28%"
"12/18/2017","247.79","248.01","248.54","247.53","3.29M","0.63%"
"12/19/2017","247.40","248.31","248.34","246.94","2.77M","-0.16%"
"12/20/2017","247.07","248.33","248.40","246.76","2.40M","-0.13%"
"12/21/2017","247.66","247.73","248.29","247.42","2.45M","0.24%"
"12/22/2017","247.40","247.58","247.61","246.97","1.85M","-0.10%"
"12/26/2017","247.25","246.94","247.59","246.88","2.16M","-0.06%"
"12/27/2017","247.48","247.15","247.69","247.10","2.93M","0.09%"
"12/28/2017","248.13","247.94","248.19","247.77","2.74M","0.26%"
"12/29/2017","247.38","248.57","248.61","247.17","2.95M","-0.30%"
"01/02/2018","248.02","248.34","248.47","247.23","4.45M","0.26%"
"01/03/2018","248.95","248.32","249.22","248.07","5.53M","0.37%"
"01/04/2018","250.60","249.96","250.92","249.62","4.93M","0.66%"
"01/05/2018","252.72","251.38","252.85","250.97","3.35M","0.85%"
"01/08/2018","252.59","252.75","252.97","252.22","3.85M","-0.05%"
"01/09/2018","253.82","253.20","254.29","252.72","5.03M","0.49%"
"01/10/2018","253.62","253.17","253.93","252.45","2.36M","-0.08%"
"01/11/2018","255.61","254.00","255.67","253.85","2.76M","0.78%"
"01/12/2018","257.91","256.63","257.97","256.48","3.68M","0.90%"
"01/16/2018","257.81","260.27","260.75","256.91","8.10M","-0.04%"
"01/17/2018","261.08","259.26","261.19","258.54","6.14M","1.27%"
"01/18/2018","260.16","261.24","261.32","259.38","4.86M","-0.35%"
"01/19/2018","260.54","260.05","260.55","259.27","4.06M","0.15%"
"01/22/2018","261.98","259.70","262.01","259.63","3.36M","0.55%"
"01/23/2018","261.87","261.83","262.29","261.27","3.48M","-0.04%"
"01/24/2018","262.57","263.00","263.76","260.87","7.11M","0.27%"
"01/25/2018","263.75","263.58","264.39","262.42","5.92M","0.45%"
"01/26/2018","265.91","264.32","265.93","264.05","3.86M","0.82%"
"01/29/2018","264.16","265.56","265.90","264.12","4.61M","-0.66%"
"01/30/2018","260.62","261.48","262.44","260.09","9.41M","-1.34%"
"01/31/2018","261.44","263.00","263.16","260.29","5.37M","0.31%"
"02/01/2018","261.62","259.95","262.90","259.77","5.18M","0.07%"
"02/02/2018","254.93","259.61","259.85","254.73","9.49M","-2.56%"
"02/05/2018","243.27","252.22","255.02","239.06","19.89M","-4.57%"
"02/06/2018","248.96","238.32","249.33","237.54","20.49M","2.34%"
"02/07/2018","248.76","248.24","252.79","247.57","12.66M","-0.08%"
"02/08/2018","238.67","248.96","249.08","238.50","15.83M","-4.06%"
"02/09/2018","242.03","241.41","244.03","233.76","19.86M","1.41%"
"02/12/2018","246.17","244.03","247.85","243.06","10.46M","1.71%"
"02/13/2018","246.57","244.72","247.25","244.33","6.23M","0.16%"
"02/14/2018","249.30","245.17","249.49","245.04","5.76M","1.11%"
"02/15/2018","252.50","251.62","252.50","248.49","6.11M","1.28%"
"02/16/2018","251.96","251.43","254.12","251.20","6.40M","-0.21%"
"02/20/2018","249.35","250.44","251.59","248.59","8.69M","-1.04%"
"02/21/2018","247.72","249.60","252.51","247.71","5.89M","-0.65%"
"02/22/2018","249.49","248.63","251.36","248.53","6.34M","0.71%"
"02/23/2018","252.91","250.79","252.95","250.05","5.12M","1.37%"
"02/26/2018","256.92","254.32","257.18","253.96","6.12M","1.59%"
"02/27/2018","253.96","257.10","257.86","253.92","7.22M","-1.15%"
"02/28/2018","250.20","255.18","255.77","250.20","5.30M","-1.48%"
"03/01/2018","245.98","250.21","251.87","244.37","8.14M","-1.69%"
"03/02/2018","245.35","243.55","245.92","242.16","6.39M","-0.26%"
"03/05/2018","248.84","243.84","249.63","243.80","4.89M","1.42%"
"03/06/2018","248.84","250.18","250.18","247.05","4.41M","0.00%"
"03/07/2018","248.11","245.86","248.58","245.40","5.36M","-0.29%"
"03/08/2018","249.14","249.13","249.71","247.22","5.85M","0.42%"
"03/09/2018","253.56","250.94","253.56","250.34","3.90M","1.77%"
"03/12/2018","251.96","254.05","254.72","251.70","5.51M","-0.63%"
"03/13/2018","250.22","253.10","253.97","249.65","6.10M","-0.69%"
"03/14/2018","247.88","251.41","251.62","246.92","6.22M","-0.94%"
"03/15/2018","249.00","248.84","250.80","247.80","5.07M","0.45%"
"03/16/2018","249.10","248.57","250.13","248.34","3.43M","0.04%"
"03/19/2018","245.91","248.30","248.38","244.32","5.74M","-1.28%"
"03/20/2018","247.10","246.49","247.85","246.32","3.26M","0.48%"
"03/21/2018","246.62","247.14","249.65","246.32","4.34M","-0.19%"
"03/22/2018","239.36","244.09","245.03","239.17","7.45M","-2.94%"
"03/23/2018","235.13","239.98","240.90","234.85","7.60M","-1.77%"
"03/26/2018","241.82","239.03","242.15","237.20","6.59M","2.85%"
"03/27/2018","238.29","243.05","244.26","236.85","6.51M","-1.46%"
"03/28/2018","238.28","239.04","240.72","237.05","7.98M","0.00%"
"03/29/2018","241.40","239.57","242.94","239.06","6.64M","1.31%"
"04/02/2018","236.15","240.33","241.03","233.20","9.22M","-2.17%"
"04/03/2018","240.15","237.38","240.25","236.40","9.87M","1.69%"
"04/04/2018","242.46","235.05","242.90","234.94","6.44M","0.96%"
"04/05/2018","244.91","243.80","246.09","243.38","4.79M","1.01%"
"04/06/2018","239.13","242.30","244.25","237.24","6.99M","-2.36%"
"04/09/2018","239.73","241.16","243.64","239.43","5.05M","0.25%"
"04/10/2018","244.01","243.35","245.00","242.20","5.98M","1.79%"
